kode,advt_median,advt_mean,rasio_mean_median,market_cap,harga_median,volume_median,turnover_bps,amihud_per_miliar,volatilitas_tahunan,rentang_harian_relatif,max_drawdown,beta_ihsg,pct_hari_volume_nol,pct_hari_harga_stagnan,umur_listing_tahun,jumlah_hari_bursa,sektor_Basic Materials,sektor_Consumer Cyclicals,sektor_Consumer Non-Cyclicals,sektor_Energy,sektor_Financials,sektor_Healthcare,sektor_Industrials,sektor_Infrastructure,sektor_Properties & Real Estate,sektor_Technology,sektor_Tidak Diketahui,sektor_Transportation & Logistics,kelas_likuiditas,kelas_kode,bagian
KBAG,-0.041141525389685074,-0.33318431652861963,-0.5892414354268009,-0.9007367943652725,-1.4517266811817116,0.4535323856997009,0.03829511751217419,-0.19664199110030206,0.35923067762116184,-0.5409446851648311,-0.23367131211126033,-0.42446848482979194,-0.3417570771486425,0.8227745691108186,-0.7963498591580754,0.0,0,0,0,0,0,0,0,0,1,0,0,0,Tidak Likuid,0,test
ISEA,0.18384279399742803,0.21525799532600381,0.2959623364846098,-1.1240863985039549,-0.7604648576114511,0.49110839665312184,1.3051190563022983,-0.5655289867687494,0.5190262854590395,1.1025349140960354,-1.2240872885330147,-0.31234976049022445,-0.3417570771486425,0.12037829868325503,-1.157178227435711,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Menengah,1,test
URBN,-0.3171730416873402,-0.37491167323971714,0.7627942226977313,-0.4374261670299446,-0.4072255572695674,-0.30525974016011787,-0.8889203804120526,0.7452954490973337,0.33606907872109953,1.0013140691509728,-0.39458943474735986,-0.23557257565152254,-0.3417570771486425,-0.4454409191611713,-0.6835909940713144,0.0,0,0,0,0,0,0,0,0,1,0,0,0,Tidak Likuid,0,test
MINA,0.4500394856067841,0.9371013941379249,1.8758106796559382,-0.38726405444369444,-0.7689369862243278,0.8095374146729628,1.0988634686769905,1.5197303036913492,2.1848010121360786,0.7204802615647908,-1.9252702132605706,0.8901822978014404,-0.05524548134112741,-0.21130882901864992,-0.5461879234191992,0.0,0,1,0,0,0,0,0,0,0,0,0,0,Likuid,2,test
LUCK,0.0539741545782829,0.06879839723205396,0.44181002983190304,-1.462772884750383,-0.7862452300461406,0.33260734678577947,1.3250016890244345,-0.45933857518182475,0.5135023914780887,1.765921324599077,0.04072965105320847,0.26446266592834583,-0.3417570771486425,-0.09424278394738936,-0.6808010840073119,0.0,0,0,0,0,0,0,0,0,0,1,0,0,Tidak Likuid,0,test
LPLI,-0.18098271751860948,-0.3310960644582136,0.1429941833802009,-0.56648708895641,0.04242456620624781,-0.31761921097359824,-0.6124395053574931,1.096061425810772,0.16190503203246842,0.41659584678123196,0.5970734713245429,0.6981999535092538,-0.3417570771486425,-0.7966390543749531,1.7901292626774246,0.0,0,0,0,0,0,0,0,0,1,0,0,0,Tidak Likuid,0,test
BIPP,-1.124414181308336,-1.4522678851838313,0.9811859542965439,-0.8898435772253832,-1.2330438141269915,-1.0040340320089198,-1.1117796192087048,4.065644359587519,0.5305860793410235,-0.9521459993980946,-0.12145026603448701,-0.813045978680814,0.010872579229837616,0.6081534864801742,1.2807381834916645,0.0,0,0,0,0,0,0,0,0,1,0,0,0,Tidak Likuid,0,test
HOMI,-0.21464871866957097,0.39332743665855124,3.7526767794083375,-0.4989906546489018,-0.05169733045252303,-0.3051449367829621,-0.6996106916212931,0.08173421708004265,1.1169401939180814,1.121027789622115,-0.9805784209812124,-0.9642841448732756,0.5618564173212128,0.003312253611994481,-0.8323861974847723,0.0,0,0,0,0,0,0,0,0,1,0,0,0,Menengah,1,test
UNVR,1.2339126962533897,1.3618791761955766,-0.8547388984484884,1.999628928110159,1.1743694137744722,1.0210752998793688,0.4378567998940631,-0.6501674778052794,-0.06228330544702745,-0.1564034170533401,-1.1223016812591944,1.2711506198194076,-0.3417570771486425,-0.9722381219818439,2.365541238602745,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Likuid,2,test
KONI,-0.5369363512492099,-0.6504158934087578,0.9010491798007747,-0.44507433156560167,0.9950261287860849,-1.1687104441733343,-1.0397743773843748,1.3724271114300708,1.7902714840551253,1.60684484859191,-0.22231244522671217,-1.2993913459155833,-0.1434028954357474,-0.7576170393511995,1.295152718822343,0.0,0,0,0,0,0,0,1,0,0,0,0,0,Tidak Likuid,0,test
BBYB,0.8685782597521267,0.9123605980395825,-0.6675037760130601,0.5385167766398425,-0.028642852823153854,1.0609137711071084,1.3364996253302934,-0.6473777806174371,0.32222709732260557,0.4063360502074146,-0.654575855550155,2.952368196853509,-0.3417570771486425,-0.7771280468630763,-0.3518241889603697,0.0,0,0,0,0,1,0,0,0,0,0,0,0,Likuid,2,test
TINS,1.1500756314272371,1.2536495540296766,-0.8285393854670492,0.9696878257851915,0.8619988926870245,1.0430356465832618,1.726361464287146,-0.6498830994255438,0.018602018200912222,0.10904558185664574,-0.31129790037489286,1.9876873943177051,-0.3417570771486425,-1.1673481971006114,1.2816681535129986,0.0,1,0,0,0,0,0,0,0,0,0,0,0,Likuid,2,test
MFMI,-3.5172664825753994,-1.0309517132699348,-0.2611785808537514,-0.021877900013391103,0.9927025842362455,-3.185741378482777,-1.122153201878401,1.426499662576535,-0.4907543185328741,-1.674020718213591,1.1084299029848712,-1.5862422436235386,2.8539491837813338,2.0324570348471784,-0.008665251088082221,0.0,0,0,0,0,0,0,1,0,0,0,0,0,Tidak Likuid,0,test
PTMR,0.30520623741824904,0.39641260334833905,0.34520643021005204,-0.6754676054593618,-0.3887280185864983,0.4603260764345791,0.9714619868106058,-0.6302923722126682,0.31948874651972176,-0.6407945322323881,1.5485057767746386,-1.6208123860926207,0.37376394518546924,0.7473113601627661,-1.1573897956155645,0.0,1,0,0,0,0,0,0,0,0,0,0,0,Tidak Likuid,0,test
BGTG,0.3508275209714873,0.26629567553644107,-0.4080642224931172,0.2680022179270491,-0.7197954047558099,0.6795124135994872,-0.1339627220370103,-0.6234467602535967,-0.25337412686535493,-0.06295417645571666,0.700859123321179,1.267825071118724,-0.3417570771486425,0.0813562836595016,-0.46458305404713085,0.0,0,0,0,0,1,0,0,0,0,0,0,0,Menengah,1,test
MENN,0.29026812962712345,0.33721610835986,0.1867614842903678,-1.3664159553285213,-1.0797918531628679,0.7767180716960823,2.1808889351073715,-0.15507504475097855,1.4089869573032743,1.181344885241538,-0.8789423270527066,0.006334051188896642,-0.3417570771486425,-0.46495192667304797,-1.053254077551624,0.0,0,0,0,0,0,0,0,0,0,1,0,0,Tidak Likuid,0,test
CUAN,1.361815448974267,1.6165063776464599,-0.615354467301001,1.0437623659344253,0.7064140281111443,1.3729431355105113,2.4517712879617126,-0.6500924643699258,1.071478823248647,0.9606880758986244,-1.596463764516554,2.952368196853509,-0.3417570771486425,-1.1673481971006114,-1.0437218848329493,0.0,0,0,0,1,0,0,0,0,0,0,0,0,Likuid,2,test
CBUT,-0.478721085841,-0.5574032562313505,0.953868270642007,0.5813536839947763,0.8970716258267369,-1.0432906289735102,-1.1079340077936954,0.7683173351812757,0.343346892400709,0.43564304170663065,-0.31573539589301214,-0.7102396866187636,0.054951286277147654,-0.3088638665780339,-1.015822784192926,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Tidak Likuid,0,test
KOTA,-0.12236873435304639,-0.32985488541499347,-0.17273996848031378,-1.0922896126602857,-1.8985252652625624,0.5976396645955593,0.15865062996179738,0.21375632567126093,2.0497528556488582,0.9298003175845387,-1.2405777310308796,-0.8291173096561297,-0.3417570771486425,0.9203296066702025,-0.7326469126966887,0.0,0,1,0,0,0,0,0,0,0,0,0,0,Menengah,1,test
MKNT,-3.5172664825753994,-5.365806350172516,-0.2611785808537514,-1.8299314915543101,-2.020081001525476,-3.185741378482777,-1.122153201878401,-0.5093340294860225,-2.390142587806191,-1.948357512943425,2.163049600528397,-1.2532103459746864,4.859530354433939,3.1640954705360307,-0.41831704548575865,0.0,0,1,0,0,0,0,0,0,0,0,0,0,Tidak Likuid,0,test
APII,-0.7549400523353483,-1.2012791131598326,-0.1300954623319538,-0.82016705527248,-0.22595997525963532,-0.941804801783746,-1.0617725838272662,1.8735382659444715,-1.2174476905851748,-1.0786687239779453,1.5318062163465473,-1.028345696097512,-0.18748160248305742,0.003312253611994481,-0.2492949941082838,0.0,0,0,0,0,0,0,1,0,0,0,0,0,Tidak Likuid,0,test
