kode,advt_median,advt_mean,rasio_mean_median,market_cap,harga_median,volume_median,turnover_bps,amihud_per_miliar,volatilitas_tahunan,rentang_harian_relatif,max_drawdown,beta_ihsg,pct_hari_volume_nol,pct_hari_harga_stagnan,umur_listing_tahun,jumlah_hari_bursa,sektor_Basic Materials,sektor_Consumer Cyclicals,sektor_Consumer Non-Cyclicals,sektor_Energy,sektor_Financials,sektor_Healthcare,sektor_Industrials,sektor_Infrastructure,sektor_Properties & Real Estate,sektor_Technology,sektor_Tidak Diketahui,sektor_Transportation & Logistics,kelas_likuiditas,kelas_kode
APLI,-0.848483613195735,-0.5740817630219305,3.340678210741999,-0.1615295339372233,0.46117796691338087,-1.3372000726373534,-1.1121388451834833,2.5147647730561626,-0.02177966275627231,-0.12922267505451626,0.9646891442085682,-0.2213626607079654,0.14310870037176768,-0.016198753899882234,0.8966605646806762,0.0,1,0,0,0,0,0,0,0,0,0,0,0,Tidak Likuid,0
NELY,0.3390592237413496,0.04011092747173874,-1.0602609795570046,-0.0029227627926919197,0.33185934352165525,0.23035295296722516,0.1736507980493828,-0.6154572467732657,-1.2048961379097458,-0.8556306814854291,0.8506339769186758,0.006070987459456042,-0.3417570771486425,-0.11375379145926608,-0.16025036456554248,0.0,0,0,0,0,0,0,0,0,0,0,0,1,Tidak Likuid,0
ARKO,0.30004872181716497,0.26779786398376604,-0.14136789710858993,0.47059145725116697,0.7964735628958931,-0.011737225368718858,-0.4838849942045669,-0.5928419217348265,-0.028480489540310048,0.1312126731844369,0.027135091140334765,-0.06606951863631787,-0.3417570771486425,-0.5820179717443087,-0.9872262060369019,0.0,0,0,0,0,0,0,0,1,0,0,0,0,Likuid,2
ASRM,-0.5451775633031578,-0.9962054228020439,-0.4514617697307233,-0.4706369344540291,0.1395753705155051,-0.8177828863792208,-1.0356713801983992,0.5999421382664374,-1.2122923588713994,-0.8349166707186529,0.4545536061773306,-0.7130661754674416,-0.29767837010133247,0.003312253611994481,1.7559528643933957,0.0,0,0,0,0,1,0,0,0,0,0,0,0,Tidak Likuid,0
ENRG,0.9729460386501547,1.2403235880853871,-0.011152749955193728,0.8031009371444441,-0.07566408679764543,1.2103564688829314,1.3143579063860864,-0.6488851715693907,0.34201212799296316,0.5538422394826129,-0.47504148499349297,1.1336758671608982,-0.3417570771486425,-0.7185950243274459,0.5483867916910511,0.0,0,0,0,1,0,0,0,0,0,0,0,0,Likuid,2
RODA,-0.773490910032855,-1.2133853179845937,-0.07706698156064778,-0.38439680659178865,-1.197401338847313,-0.5601016239131354,-1.0994190687041498,3.3347243681903103,0.5493573535048365,-0.8400870456572705,-0.27054394153648575,-0.4350939442071305,-0.1434028954357474,0.6861975165276814,0.7713471043059046,0.0,0,0,0,0,0,0,0,0,1,0,0,0,Tidak Likuid,0
BJBR,0.7026485026287208,0.6444714224850062,-0.7824606323202519,1.0721147695390374,0.7883730500773202,0.508103915518427,-0.05630813901922991,-0.648198828715872,-1.1544509242477319,-1.1452736997898032,0.5395532303132445,0.49899065174230306,-0.3417570771486425,-0.23081983653052687,0.03178844483995162,0.0,0,0,0,0,1,0,0,0,0,0,0,0,Menengah,1
DEFI,-3.5172664825753994,-2.883712885565859,-0.2611785808537514,-0.01457928312909618,1.0608853514458956,-3.185741378482777,-1.122153201878401,3.676557894160192,-1.7213183634369758,-1.948357512943425,1.231730609891258,-1.093770957085283,4.749333586815664,3.1055624480004007,0.7964562948819256,0.0,0,0,0,0,1,0,0,0,0,0,0,0,Tidak Likuid,0
ATIC,-0.06531711640331823,-0.2617159633694345,-0.21592847790109287,-0.05252568433283834,0.2782696969738535,-0.27995273672950505,-0.7853283370935774,-0.4341438150173842,-0.012983792155714316,0.07493896266088368,-0.2639398885051019,-0.5690414140021685,-0.3417570771486425,-0.5429959567205551,-0.3927428698990706,0.0,0,0,0,0,0,0,0,0,0,1,0,0,Tidak Likuid,0
ANJT,0.5300195815402037,0.6061028891055555,-0.0743635705531404,0.4242234835281521,0.6558084104296288,0.29316643218513083,0.10787445622268178,-0.6429386114872225,-0.6325464497026867,-0.8324893240966604,1.799174968042619,-1.5828928246270904,-0.3417570771486425,-0.17228681399489648,-0.20884129818024993,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Menengah,1
ITIC,-0.1331872457313118,-0.4684948792407145,-0.6121177009440962,-0.7080388093561716,-0.004015586306560363,-0.22708871953211202,-0.35805049770215575,-0.4327583827153476,-1.1119856537348494,-0.20210824634305816,0.48820129212906993,-0.5186816336394939,-0.3417570771486425,0.15940031370700847,-0.7314844501700211,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Tidak Likuid,0
VICI,0.18950961880721895,-0.15964338368368744,-1.0365464948117367,0.6759649678884782,0.5543943527883464,-0.05338366649804627,-0.8251210038388553,-0.587910595214132,-1.6018550133543568,-0.8272148379784894,1.6183403022012022,-0.6337484220080994,-0.3417570771486425,0.8227745691108186,-0.8551704630074579,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Menengah,1
TRUK,0.14873500863354297,0.0793321995854598,-0.05403216185020569,-1.4841717153965948,-0.5148554544472217,0.33446926026376117,1.71764571006301,-0.04990000621444589,0.017980648569454426,0.8259886020759035,0.24129815167130533,0.34910389345289683,-0.3417570771486425,-0.5820179717443087,-0.6368600004992752,0.0,0,0,0,0,0,0,0,0,0,0,0,1,Tidak Likuid,0
TOTO,0.0732876656832654,-0.12881818390605737,-0.4358632741636488,0.38262248107377606,-0.07566408679764543,0.052336458804394116,-0.826445432881535,-0.5770039157465054,-1.3864231025067333,-0.9918640583967816,1.4193999314482186,-0.5833450685594231,-0.3417570771486425,0.295977366290146,1.7036420506933518,0.0,0,0,0,0,0,0,1,0,0,0,0,0,Tidak Likuid,0
BBHI,0.31884935731055336,0.274483179902331,-0.21528733629204935,1.3517450566316827,0.7026678979193199,0.050175749719505586,-0.9680216995183903,-0.6113717873293553,0.3412889141277527,0.261491782808155,-0.3876055902942405,0.9592153036558355,-0.3417570771486425,-0.7185950243274459,-0.40088010758574405,0.0,0,0,0,0,1,0,0,0,0,0,0,0,Menengah,1
LAJU,-0.6723410563119631,-0.11840500168247622,4.125396901491711,-1.0831313458946379,-0.969351058498508,-0.5271609267485292,-0.9708252669525104,-0.6499403177959304,-0.7784388888314138,-1.705767447282379,0.8866893511936682,-1.3889111158799703,-0.3417570771486425,3.008007410441017,-1.034422184619608,0.0,0,0,0,0,0,0,0,0,0,0,0,1,Menengah,1
CLPI,0.11567280853918083,-0.1464034647676091,-0.6940333869856027,-0.5512177336892767,0.8720256793170797,-0.29646064941329886,0.12082631705596504,-0.601436118546907,-1.3318093536013411,-1.0840661839426882,1.1966851490494388,-0.46480252224436097,-0.3417570771486425,-0.11375379145926608,0.762279896597897,0.0,1,0,0,0,0,0,0,0,0,0,0,0,Tidak Likuid,0
SMRA,1.1197507559942241,1.168584132084229,-0.9532920811530219,0.9588456261747708,0.36686781879954045,1.1963372817957985,1.586387115455519,-0.6499548872647999,-0.6221245565547644,-0.2854463903870235,-0.6638519887388907,1.5061052142732112,-0.3417570771486425,-0.8941940919343369,1.7445607316320528,0.0,0,0,0,0,0,0,0,0,1,0,0,0,Likuid,2
WOMF,-0.18988287827766168,-0.49471909515410833,-0.43127864598597115,0.0855683931929193,0.20597571821822463,-0.3991624818629154,-0.9661960041055863,-0.2653620690745125,-1.3150689121307684,-0.8876482796219318,1.3892975322788463,-0.5396376360890214,-0.3417570771486425,-0.05522076892363592,0.5044457081830143,0.0,0,0,0,0,1,0,0,0,0,0,0,0,Tidak Likuid,0
DSNG,1.1107180029434605,1.1220524235099576,-1.0463497756460376,1.0428899387767958,0.7408923334838787,1.0256490071443025,1.3971871865153251,-0.6496252657996616,0.1067066417733501,0.1911846862017065,-0.5822118603278078,0.1967447712154112,-0.3417570771486425,-0.7966390543749531,-0.21744352087759045,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Likuid,2
WINS,0.6213511194256196,0.5109808063437457,-0.8433718737609897,0.2610867276175082,0.2906878943442361,0.598990059665009,0.7718846417592374,-0.6388095220078791,-0.4642675827332909,-0.2637099557505164,-0.02955502195656877,0.23361273787401193,-0.3417570771486425,-0.87468308442246,-0.0016904759280764636,0.0,0,0,0,1,0,0,0,0,0,0,0,0,Menengah,1
HDIT,-0.36989878531198256,-0.6800216040857455,-0.19083079087320678,-1.7372703734873298,-1.5674578790932507,0.12606695739366927,0.18202427138764876,1.012238608473066,0.968601146900737,-0.3581938946916636,-1.2309083352025862,-0.0240097807869208,-0.3417570771486425,0.45206542638516023,-0.7333443902126893,0.0,0,0,0,0,0,0,0,0,0,1,0,0,Menengah,1
ICON,-0.8018971201949306,-1.285959548731373,-0.2027644700325294,-1.552950229512276,-1.1475858311219092,-0.5973410096390536,-0.9062128104234768,2.330120222219387,0.02963102485048868,-0.8404095700700762,0.3622932797615703,-0.20654946705708274,-0.3417570771486425,0.7447305390633118,0.45631975957897386,0.0,0,0,0,0,0,0,1,0,0,0,0,0,Tidak Likuid,0
INPP,-0.39670859849439943,-0.23936654385815767,1.899646827013825,1.1073917449404764,0.7900018419202541,-0.8970003540129327,-1.11496190555276,0.8809837546021412,-0.8005742900376924,-0.2814256893429991,0.604342993007501,-1.0666604928205101,0.1651480538954227,0.27646635877826925,0.5825631899750796,0.0,0,0,0,0,0,0,0,0,1,0,0,0,Tidak Likuid,0
ELTY,0.20757530889976955,-0.004330281365606248,-0.6492708586751993,-0.3257915702289516,-1.7973327009462232,0.9539511082081691,0.1691904383177053,-0.47383081713596253,1.2732026414608915,0.39019182506606526,-0.7479474593578261,0.6876704988099449,-0.3417570771486425,1.1349506893008467,1.2791107359543297,0.0,0,0,0,0,0,0,0,0,1,0,0,0,Menengah,1
SFAN,0.2700835709660186,-0.0723208001140223,-1.1022716139178281,0.4274752563599834,1.2062847490192197,-0.2233444115620522,-0.5204553483278765,-0.6447374453541442,-2.142323665879993,-1.772115760729664,2.058973630376551,-0.9267490589340329,-0.3417570771486425,0.3740213963376531,-0.7279970625900181,0.0,0,0,0,0,1,0,0,0,0,0,0,0,Tidak Likuid,0
BFIN,0.8558250471929039,0.8534081343050289,-0.7971727481158031,1.2570026606601568,0.7634005392797207,0.7069682774417018,0.17487638603881053,-0.6472924748219331,-0.5608689790323785,-0.31755184109326157,0.337060535690675,0.5334416453907643,-0.3417570771486425,-0.7381060318393228,1.7424682990840514,0.0,0,0,0,0,1,0,0,0,0,0,0,0,Likuid,2
WOOD,0.567413533758904,0.477952005163059,-0.7130511243155225,0.33764446551562344,0.1524927079388816,0.6022452139647794,0.5031487526908753,-0.6367748489015813,0.08747685680711108,0.43017478757102623,0.5363159494155074,1.1071299057644013,-0.3417570771486425,-0.7966390543749531,-0.5587425187072097,0.0,0,1,0,0,0,0,0,0,0,0,0,0,Menengah,1
CMNT,1.1886271464115032,1.1901762435762466,-1.1022716139178281,1.2919025824607344,0.765097787017772,1.1149642959491608,1.3045666029313128,-0.6501278214617577,-0.5891518157894535,-0.41379865050714393,0.4032195597789983,-0.29587331362812525,-0.3417570771486425,-0.23081983653052687,-0.9167809769208429,0.0,1,0,0,0,0,0,0,0,0,0,0,0,Likuid,2
INCF,-0.5041331147766741,-0.9391350162086447,-0.45215871618703396,-1.6690458917097624,-1.4517266811817116,-0.10508004509700208,-0.3248353479814461,1.3295296557994853,0.2605169921190394,-0.774529438490949,-0.049308164985132893,-0.6978069448255793,-0.3417570771486425,0.9983736367177098,-0.49178467717115354,0.0,1,0,0,0,0,0,0,0,0,0,0,0,Tidak Likuid,0
MANG,0.5754896475738933,0.560830568922235,-0.4746089265472787,-0.6684512056270838,-0.7950884136913955,0.972337677677285,2.029804366426581,-0.5050417913800469,1.201926447979371,1.7628160031553826,-2.4667440379760404,-0.3313906515226132,-0.3417570771486425,-0.5820179717443087,-1.1155620689810093,0.0,0,0,0,0,0,0,0,1,0,0,0,0,Menengah,1
MAPI,1.1380612084595114,1.200174608397926,-0.9361656988631835,1.4857744659423449,1.028850358711354,0.9505449348834373,0.8297323129872726,-0.6498641367563275,-0.07280441462880909,0.03156139575353042,-0.0941532548266232,1.2442483584437998,-0.3417570771486425,-1.1673481971006114,0.5121179608590205,0.0,0,1,0,0,0,0,0,0,0,0,0,0,Likuid,2
NICK,-0.646431263167921,-0.4500297504233,2.5645901320366398,-0.41557737011654783,0.5870948998836911,-1.1578289245340998,-1.0798640764474647,1.9135564790364772,1.0731571809763867,1.0538163894576305,0.7709197140658016,-0.42954394182387956,0.0769906398008026,-0.15277580648301975,-0.631977657887271,0.0,0,0,0,0,1,0,0,0,0,0,0,0,Tidak Likuid,0
LAPD,-0.21662859191038092,-0.36838918722158626,0.1935685575612077,-1.2287274454877801,-1.5068325921542944,0.31976288687041016,0.06985139101109306,0.9012768004357973,1.5593324087209184,-0.22577874199176498,-1.8314852538710316,-0.07456836677078327,0.0769906398008026,-0.3088638665780339,0.7938988773232567,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Menengah,1
